epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,7547.3,0.46753,0.27856,0.93825,0.91226,0.90345,0.94327,0.79463,0.65776,0.38645,1.06467,0.001981,0.001981,0.001981
83,7639.81,0.46385,0.27373,0.93437,0.91802,0.89765,0.9424,0.79276,0.66014,0.38747,1.06809,0.001882,0.001882,0.001882
84,7732,0.46165,0.27403,0.93366,0.91681,0.90067,0.94255,0.79259,0.6602,0.38768,1.06928,0.001783,0.001783,0.001783
85,7824.47,0.4591,0.27126,0.93234,0.9125,0.90754,0.94303,0.7925,0.66114,0.38663,1.07005,0.001684,0.001684,0.001684
86,7916.58,0.44758,0.2651,0.92586,0.90995,0.90677,0.94242,0.79231,0.6615,0.38758,1.07184,0.001585,0.001585,0.001585
87,8008.98,0.44985,0.26428,0.92532,0.91061,0.90701,0.943,0.79214,0.6602,0.38944,1.07191,0.001486,0.001486,0.001486
88,8101.86,0.44271,0.25897,0.9244,0.9087,0.9079,0.94255,0.7922,0.66011,0.3886,1.07287,0.001387,0.001387,0.001387
89,8194.63,0.44089,0.25582,0.92167,0.9098,0.90331,0.94324,0.79101,0.66138,0.3892,1.07471,0.001288,0.001288,0.001288
90,8287.06,0.43232,0.25527,0.91853,0.90608,0.90511,0.94262,0.7919,0.66149,0.38854,1.07612,0.001189,0.001189,0.001189
91,8400.7,0.42647,0.25243,0.91539,0.90444,0.90506,0.94361,0.79178,0.66113,0.38973,1.07594,0.00109,0.00109,0.00109
92,8492.84,0.41995,0.24707,0.91352,0.90057,0.91024,0.94398,0.79265,0.65981,0.38977,1.07676,0.000991,0.000991,0.000991
93,8585,0.42305,0.2485,0.91254,0.89999,0.90956,0.94428,0.7929,0.65879,0.3908,1.07735,0.000892,0.000892,0.000892
94,8677.59,0.41613,0.24399,0.91617,0.91012,0.90516,0.94403,0.79347,0.65952,0.39073,1.0788,0.000793,0.000793,0.000793
95,8769.69,0.40962,0.24041,0.90957,0.90868,0.90613,0.94368,0.79316,0.65973,0.39104,1.0798,0.000694,0.000694,0.000694
96,8861.49,0.4099,0.24196,0.90609,0.91036,0.90512,0.94292,0.79329,0.65915,0.39015,1.08083,0.000595,0.000595,0.000595
97,8952.86,0.40753,0.23653,0.90754,0.90458,0.90733,0.94224,0.79268,0.65926,0.39173,1.08195,0.000496,0.000496,0.000496
98,9044.59,0.40003,0.23272,0.90639,0.8992,0.9114,0.942,0.79287,0.66036,0.39286,1.08303,0.000397,0.000397,0.000397
99,9136.26,0.39754,0.2306,0.90005,0.9038,0.90687,0.94159,0.79199,0.661,0.39284,1.08364,0.000298,0.000298,0.000298
100,9227.58,0.39571,0.23415,0.90122,0.90415,0.90783,0.94127,0.79205,0.66091,0.39316,1.08434,0.000199,0.000199,0.000199
